OBJECTID,CRASH ID,CRASH LEVEL CODE,CRASH LEVEL,CRASH TYPE (Code),CRASH TYPE,DATE,YEAR,DAY OF MONTH,MONTH,DAY (Code),DAY OF WEEK (Code),DAY OF WEEK,TIME (Military),CASE NUMBER,LATITUDE,LONGITUDE,x,y
469163,1271796,1,fatality,14,Pedestrian,25/09/2024,2024,9,September,25,4,Wednesday,0650,20240925065000,35.235345,-80.820592,-8996907.507,4195910.699
469711,1272344,2,Serious injury,23,Left turn; same roadway,28/09/2024,2024,9,September,28,7,Saturday,1540,20240928155400,35.083827,-81.004435,-9017372.822,4175279.673
469852,1272485,2,Serious injury,21,Rear end; slow or stop,30/09/2024,2024,9,September,30,2,Monday,1214,20240930121402,35.041359,-80.846296,-8999768.863,4169504.019
470142,1272775,2,Serious injury,1,Ran off road right,01/10/2024,2024,10,October,1,3,Tuesday,1806,20241001180603,35.146674,-80.896041,-9005306.453,4183832.396
470262,1272895,1,fatality,14,Pedestrian,28/09/2024,2024,9,September,28,7,Saturday,2255,20240928225500,35.241244,-80.887617,-9004368.698,4196714.698
470672,1273305,2,Serious injury,15,Pedalcyclist,06/10/2024,2024,10,October,6,1,Sunday,1627,20241006162702,35.262855,-80.772174,-8991517.639,4199660.651
471114,1273747,2,Serious injury,14,Pedestrian,09/10/2024,2024,10,October,9,4,Wednesday,1501,20241009150302,35.292039,-80.737734,-8987683.794,4203640.181
471258,1273891,1,fatality,2,Ran off road left,09/10/2024,2024,10,October,9,4,Wednesday,2007,20241009200700,35.116587,-80.780930,-8992492.352,4179737.094
471836,1274469,2,Serious injury,14,Pedestrian,15/10/2024,2024,10,October,15,3,Tuesday,1937,20241015193700,35.325637,-80.945259,-9010785.379,4208223.381
472073,1274706,1,fatality,30,Angle,11/10/2024,2024,10,October,11,6,Friday,1928,20241011192800,35.194149,-80.707397,-8984306.693,4190297.555
472572,1275205,2,Serious injury,23,Left turn; same roadway,17/10/2024,2024,10,October,17,5,Thursday,2159,20241017215900,35.208385,-80.670094,-8980154.141,4192236.954
473063,1275696,2,Serious injury,14,Pedestrian,24/10/2024,2024,10,October,24,5,Thursday,1439,20241024143905,35.219518,-80.836207,-8998645.762,4193753.861
473180,1275813,1,fatality,2,Ran off road left,16/10/2024,2024,10,October,16,4,Wednesday,0250,20241016025000,35.152691,-80.891151,-9004762.101,4184651.584
473181,1275814,1,fatality,1,Ran off road right,17/10/2024,2024,10,October,17,5,Thursday,1706,20241017170602,35.378121,-80.775871,-8991929.188,4215386.689
473182,1275815,1,fatality,1,Ran off road right,20/10/2024,2024,10,October,20,1,Sunday,0714,20241020071403,35.342000,-80.824420,-8997333.639,4210456.195
473185,1275818,1,fatality,21,Rear end; slow or stop,23/10/2024,2024,10,October,24,5,Thursday,0004,20241021000403,35.321959,-80.773166,-8991628.068,4207721.562
473417,1276050,2,Serious injury,14,Pedestrian,27/10/2024,2024,10,October,27,1,Sunday,1908,20241027190800,35.259329,-80.859697,-9001260.657,4199179.942
473584,1276217,2,Serious injury,14,Pedestrian,27/10/2024,2024,10,October,27,1,Sunday,0259,20241027025900,35.240309,-80.922027,-9008199.203,4196587.259
473642,1276275,2,Serious injury,26,Right turn; different roadways,29/10/2024,2024,10,October,29,3,Tuesday,1454,20241029145400,35.381051,-80.745064,-8988499.767,4215786.729
473717,1276350,2,Serious injury,30,Angle,30/10/2024,2024,10,October,30,4,Wednesday,2048,20241030204807,35.266071,-80.769257,-8991192.92,4200099.114
474073,1276706,2,Serious injury,3,Ran off road straight ahead,01/11/2024,2024,11,November,1,6,Friday,1645,20241101164701,35.348217,-80.859939,-9001287.597,4211304.654
474281,1276914,2,Serious injury,2,Ran off road left,13/10/2024,2024,10,October,13,1,Sunday,0400,20241013040001,35.147605,-80.927270,-9008782.851,4183959.144
474364,1276998,1,fatality,14,Pedestrian,03/11/2024,2024,11,November,3,1,Sunday,1924,20241103192400,35.239489,-80.835911,-8998612.811,4196475.496
474376,1277010,2,Serious injury,14,Pedestrian,04/11/2024,2024,11,November,4,2,Monday,0539,20241104053901,35.204990,-80.759575,-8990115.124,4191774.415
474422,1277056,1,fatality,24,Left turn; different roadways,26/10/2024,2024,10,October,26,7,Saturday,2011,20241026201101,35.247443,-80.945820,-9010847.829,4197559.648
475231,1277865,1,fatality,23,Left turn; same roadway,30/10/2024,2024,10,October,30,4,Wednesday,0813,20241030081301,35.241437,-80.887915,-9004401.872,4196741.004
475234,1277868,1,fatality,1,Ran off road right,03/11/2024,2024,11,November,3,1,Sunday,1841,20241103184100,35.333352,-80.956029,-9011984.29,4209276.075
475239,1277873,1,fatality,14,Pedestrian,06/11/2024,2024,11,November,6,4,Wednesday,0536,20241106053600,35.291846,-80.753151,-8989400.008,4203613.859
475273,1277907,2,Serious injury,14,Pedestrian,10/11/2024,2024,11,November,10,1,Sunday,2340,20241110234001,35.307126,-80.860018,-9001296.391,4205698.006
475779,1278413,2,Serious injury,14,Pedestrian,28/10/2024,2024,10,October,28,2,Monday,2045,20241028204500,35.440864,-80.766260,-8990859.296,4223956.32
475958,1278593,1,fatality,19,Fixed object,10/11/2024,2024,11,November,10,1,Sunday,0116,20241110011601,35.143363,-80.876481,-9003129.044,4183381.645
