OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
28790,0,2,0,0,0,2,2,Margaret Wallace Rd,2014-2018,5addfd7c-fadf-468c-96fd-a57100d56100,2212.73789308985
28791,0,1,0,0,1,0,5,McKee Rd,2014-2018,81966219-01af-44f8-82ff-4ca49367110d,2331.25507702669
28792,0,1,0,0,1,0,5,Statesville Rd,2018-2022,c42d2d9b-8453-4b7a-b8a5-9ac622ca9b30,2502.33070671013
28793,0,2,0,0,0,2,2,W 30th St,2019-2023,01695d23-4476-4920-b07c-0e186fe57389,1477.2695561079
28794,0,1,0,0,0,1,1,Sheets Cr,2018-2022,9f000554-0ace-470c-8a9a-b815ca2d540b,1235.14679931671
28795,0,1,0,0,1,0,5,Nc Music Factory Bv,2018-2022,a9fbd73c-0e7f-45cf-8cb5-5c1ce0448be4,1417.58100914471
28796,1,0,1,0,0,0,5,Statesville Av,2018-2022,da4c6d4a-7bc0-4f53-9d46-c4b9a5d5bda8,2511.59854180211
28797,0,1,0,0,0,1,1,Bellingham Ln,2014-2018,9919c93b-f24c-4019-97b0-c9647155882f,2507.80108712161
28798,1,0,1,0,0,0,5,Grandiflora Dr,2014-2018,b16a7fb3-242e-40cb-a122-ac1f358fb532,569.261482928938
28799,0,1,0,0,0,1,1,Kimmerly Glen Ln,2013-2017,ebaa914a-e8c4-4dc6-8adf-64da99d9e3db,2604.83793206813
28800,1,0,1,0,0,0,5,Fairmarket Pl,2019-2023,6a07beca-527f-4a61-8a4e-1eb84bef72ae,808.336752239449
28801,0,1,0,0,0,1,1,Marvin Rd,2018-2022,619759d9-22ff-45e6-bdd5-ea92fc52a21e,1348.50391981921
28802,0,1,0,0,0,1,1,Elmstone Dr,2018-2022,bc802636-9db5-4aac-9050-f8e597a2d167,2250.69520323865
28803,0,1,0,0,0,1,1,W 10th St,2019-2023,582d3ad3-3299-46c9-8f77-1af7a7eccf1b,1530.84399645897
28804,0,1,0,0,1,0,5,Medallion Dr,2017-2021,07467a46-1e05-419b-8a06-602804dcdb74,1518.56987037646
28805,0,1,0,0,0,1,1,Toomey Av,2019-2023,aa3dfd0a-d1da-4fc0-8994-2c32c450d735,1985.55708916797
28806,0,1,0,0,1,0,5,Hidden Forest Dr,2017-2021,4284778c-c542-44cc-a36c-f76bceee6c3b,595.609426022424
28807,0,1,0,0,0,1,1,Beam Rd,2016-2020,e8cfbbda-6cdc-4792-bfe6-f1011ce97a9c,2460.04810011434
28808,0,1,0,0,0,1,1,Selwyn Av,2019-2023,9138bc38-5f9c-43ce-b820-21467441aa5b,2511.19337247845
28809,3,3,3,0,2,1,22,Brookshire Bv,2016-2020,c0904b4f-3093-4153-87c3-cb550de5919e,2527.95246075894
28810,0,1,0,0,0,1,1,E Arrowood Rd,2015-2019,1530c76c-8c97-4010-8d32-07a0cc094131,2384.14546228335
28811,0,1,0,0,0,1,1,E Independence Bv,2017-2021,e73dd5e6-2525-44c1-b455-00e1a3ba33cf,2543.45746127358
28812,0,1,0,0,0,1,1,Amesbury Av,2017-2021,a69b9460-82b4-4675-a001-c1133844a16a,1219.94307662699
28813,0,1,0,0,1,0,5,Pavilion Bv,2013-2017,ee4f1b2d-83ad-4236-b1da-be46d4bf40f9,2302.90481526354
28814,0,2,0,0,2,0,10,Pacific St,2018-2022,a1078981-a196-402d-8d1a-d8e32979eec4,541.905330010086
28815,0,2,0,0,0,2,2,Westinghouse Bv,2013-2017,fdf1acee-8d08-48e3-8062-43c86ee13087,2596.94867835866
28816,0,1,0,0,0,1,1,Morning Dr,2014-2018,90536857-3a9b-46ab-a6d8-93ffefe8deb6,1709.09300756039
28817,1,0,0,1,0,0,3,S I-85 Hy,2018-2022,b2c88821-b7b0-4dca-8f99-8ec984ebe070,2592.46721924023
28818,0,1,0,0,1,0,5,Bellegarde Dr,2017-2021,8ace12c4-b754-43c7-87ef-b742f9a1cb99,1054.84997419662
28819,0,1,0,0,1,0,5,Brandon Forest Dr,2016-2020,e6843473-312a-40e2-9686-02830c0e9650,2501.20587856098
28820,0,3,0,0,2,1,11,Freedom Dr,2014-2018,01572daa-0686-448a-bab8-948e7d66b117,2538.81347058655
28821,0,1,0,0,1,0,5,Choate Cr,2015-2019,68838fa7-54c8-462a-abbb-b253a8735b79,2325.90336578553
28822,0,1,0,0,0,1,1,Northpointe Industrial Bv,2013-2017,7651e9cb-7521-43bc-9889-0f5c28c930a4,2234.16042005412
28823,0,1,0,0,0,1,1,Mt Holly-Huntersville Rd,2017-2021,9bc85b33-63db-4171-a763-670f3c148834,2353.62283855187
28824,0,1,0,0,0,1,1,Cindy Ln,2016-2020,ba8f922f-bb95-4ebe-8073-ffa4ff13a571,2544.76011547436
28825,0,1,0,0,0,1,1,Lasalle St,2017-2021,99583ef6-9c47-45f8-9ffc-b7d82db4c1db,2440.65259767832
28826,0,1,0,0,0,1,1,Harris Houston Rd,2015-2019,745381c4-5ecc-4db0-84a5-aae60276eed5,2365.81791823453
28827,0,2,0,0,1,1,6,Pinewood Ln,2018-2022,31a26e45-8838-49c4-80ee-6ac0d4e250ba,2203.39486537353
28828,0,1,0,0,0,1,1,Split Oak Dr,2018-2022,1f0ccd61-fd75-4b94-8af6-bb2ea8d4caeb,1835.77623544857
28829,0,1,0,0,1,0,5,Griers Fork Dr,2013-2017,bc542b34-9637-4803-a5aa-e6107e863a40,1797.80046293743
28830,2,0,0,2,0,0,6,Park Rd,2014-2018,2b0b7f11-4c8a-41bf-b240-72ddae919681,2480.64693469969
28831,0,1,0,0,0,1,1,Pineville-Matthews Rd,2013-2017,ad57b06f-c5d5-41dc-a5b6-717eea6aba6c,2593.71485898731
28832,0,1,0,0,0,1,1,E Brookshire Fr,2019-2023,45fd52e0-e326-4910-9da7-1a1e2a20ba05,2530.84728664037
28833,1,0,0,1,0,0,3,N I-77/I-85 Ra,2019-2023,cbfd7be7-0940-4702-aeb9-7db1d3fa6ceb,1456.09951039395
28834,1,0,0,1,0,0,3,Prospect Dr,2016-2020,ded547aa-220d-48bd-848f-12e55a838035,41.4537401442063
28835,,,,,,,1,TRADE,2013-2017,e82618a9-813d-4c0c-afbe-fee7773038d2,237.443459662909
28836,1,1,0,1,1,0,8,W Sugar Creek Rd,2013-2017,a9e8a7f9-d7f8-49b0-88cc-2ee0d0399695,2501.88266568565
28837,0,1,0,0,0,1,1,Demill Ln,2017-2021,35999617-2c0c-4feb-b255-35475d509765,907.938499993024
28838,0,1,0,0,0,1,1,Bellingham Ln,2013-2017,2e8ef811-55aa-4322-8668-f4909c9ba666,2485.70303618171
28839,0,1,0,0,0,1,1,Benard Av,2013-2017,8968c7ba-f719-4d57-8a3c-35e091368afc,2354.19374233429
28840,0,1,0,0,1,0,5,Rockbrook Dr,2017-2021,08977997-80b3-4e6e-8894-1a6eecef4278,1461.86388289167
28841,0,2,0,0,1,1,6,W Sugar Creek Rd,2015-2019,a756aeb6-6ae1-4395-82df-116331ad599f,2502.55954917787
28842,2,0,2,0,0,0,10,E Sugar Creek Rd,2019-2023,fd54fd1f-b659-4d5d-b59d-521544547fcb,2551.18327909597
28843,0,1,0,0,1,0,5,Old Pineville Rd,2014-2018,32078702-ec2a-4db2-bd07-387c5b518fd7,2430.27638434967
28844,0,1,0,0,0,1,1,Independence/I-277 Ra,2014-2018,8bd5e7e9-0968-4b71-8efc-e5d592758f4c,832.798778193413
28845,1,0,0,1,0,0,3,Calloway Orchard Dr,2018-2022,857ad566-1690-47e3-b1de-980782702d37,423.709739320022
28846,0,1,0,0,0,1,1,Idlewild Rd,2013-2017,88ede3af-eab2-4414-b936-dbc11867629a,2317.19482731199
28847,0,1,0,0,0,1,1,Kempton Pl,2019-2023,bcefedcc-52fd-48e0-9429-b09d2df8b0f6,1460.47348134045
28848,0,2,0,0,0,2,2,S I-85 Exit 36 Ra,2016-2020,3607306d-7667-4593-993e-57bf8089b717,633.298632552526
28849,0,1,0,0,1,0,5,Park Rd,2019-2023,2aaa3e03-9362-4ab7-8907-2b59c34d96e8,2480.64807002029
28850,0,1,0,0,0,1,1,Campbell Dr,2016-2020,2f9b8049-5bc4-44f7-9950-1be0d7283f3c,2111.59816286911
28851,0,4,0,0,1,3,8,Billy Graham Py,2016-2020,9c9c1838-7d69-4339-85f7-73496478408d,2600.49760566965
28852,0,1,0,0,1,0,5,N Tryon St,2013-2017,020065a0-962a-44f6-9bbf-3a272f510ca0,2520.95245901495
28853,0,1,0,0,0,1,1,Harri Ann Dr,2015-2019,82164eff-a0e9-47fe-9e04-1da56832c73d,2629.82471445841
28854,0,2,0,0,1,1,6,N Wendover Rd,2013-2017,e4985e04-ab52-416b-9cec-e8154599678d,2432.10181084431
28855,0,1,0,0,1,0,5,N Us 29 By-Pass Hy,2016-2020,ae55b837-f745-404d-b943-357a14f97ec9,2116.19602360207
28856,0,1,0,0,0,1,1,East Bv,2017-2021,b5bf266c-37b7-4016-85c0-ba2a04859ab3,2308.13838563326
28857,1,0,0,1,0,0,3,Glenwood Dr,2018-2022,b47dc692-8322-4cb8-9e70-2df166bbd1f7,2542.19141569242
28858,1,0,0,1,0,0,3,Eastfield Rd,2015-2019,b622ce2f-0ffc-4e6c-b94e-6947f80116a8,2479.36954916322
28859,0,1,0,0,0,1,1,W Brookshire Fr,2013-2017,9192f4c7-de91-4881-921d-910dd312b971,1616.82891913232
28860,0,1,0,0,0,1,1,Fred Gibbon Dr,2019-2023,c90ba568-e537-4302-b20b-a5c0d2f46de1,170.980326311005
28861,3,2,3,0,1,1,21,The Plaza,2017-2021,bd33fefe-ca07-4a47-a15c-dc1232e78d4d,2478.04388212087
28862,1,1,1,0,0,1,6,Sharon Rd,2018-2022,a7533125-76b3-4934-afe8-a00be6905995,2625.91823041095
28863,0,2,0,0,1,1,6,Monroe Rd,2017-2021,9f22cbe4-16bc-4575-85c6-9169016d3fd6,2617.51669005208
28864,0,1,0,0,0,1,1,Old Statesville Rd,2018-2022,b5142b72-ad4e-4440-9b32-1a40272baf06,2452.76293005305
28865,0,2,0,0,1,1,6,Steele Creek Rd,2014-2018,fb1a5c93-d81a-4ca3-a404-218ae7f80365,2580.43647177817
28866,0,1,0,0,1,0,5,Eastway Dr,2017-2021,e4a1dcdf-6e3d-4336-bd6c-e6b1b31ae286,2498.00123399194
28867,0,1,0,0,1,0,5,Gibbon Rd,2017-2021,272b2897-d215-46f5-a21a-d91f1a9227fc,2355.4502186967
28868,0,1,0,0,0,1,1,Seneca Pl,2016-2020,227d0d64-550f-4d93-b3ad-3829c122ad8c,2168.86696049286
28869,1,1,0,1,0,1,4,Providence Rd,2014-2018,145d086d-ddea-4776-8506-b7d96d463348,2631.46557383957
